"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,City,State,ZIP Code,Address Type,avgtime,Estimated total spending
lisacabrera@yahoo.com,"9801 Thomas Pike Suite 058Brandishire, AK 88122-1314",DarkSlateBlue,10.63,37.5,4.65,501.87,Brandishire,AK,88122-1314,Standard,24.065,2333.6955
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705North Matthewmouth, KY 99737",Chocolate,12.51,37.14,4.21,591.2,North Matthewmouth,KY,99737,Standard,24.825,2488.952
hoovernicole@dorsey.net,"69403 Hernandez KnollsMarciashire, DE 36417-5667",HoneyDew,11.53,36.89,4.64,547.24,Hernandez KnollsMarciashire,DE,36417-5667,Standard,24.21,2539.1936
christopher20@gmail.com,USNV FullerFPO AE 32122-5711,Snow,13.41,36.11,2.26,448.23,Classified,,,Military,24.76,1012.9998
brianwilson@yahoo.com,"448 Stewart DivideNew Ashleyfort, FM 84050",BurlyWood,12.17,39.13,3.66,549.86,Stewart DivideNew Ashleyfort,FM,84050,Standard,25.65,2012.4876
gonzaleskatie@gmail.com,"70129 Darrell SpringThomasmouth, HI 39319-2739",Moccasin,13.15,37.34,3.88,593.92,Darrell SpringThomasmouth,HI,39319-2739,Standard,25.245,2304.4096
lsmith@chung.com,"412 Jackson RiverKleinburgh, KS 52039-7404",BlueViolet,12.99,36.46,4.11,563.67,Jackson RiverKleinburgh,KS,52039-7404,Standard,24.725,2316.6837
dongarcia@hotmail.com,"546 Benjamin Lights Suite 421Romerofurt, NC 43746-4501",MediumBlue,11.86,36.58,3.2,479.73,Romerofurt,NC,43746-4501,Standard,24.22,1535.136
kimberly46@garcia-nelson.biz,"4066 Gonzalez Dam Apt. 277West Jessica, TN 36880",GreenYellow,11.4,36.59,3.2,416.36,West Jessica,TN,36880,Standard,23.995,1332.352
william82@gmail.com,"11143 Park SquaresSamanthatown, UT 97073",SandyBrown,13.86,37.78,5.98,725.58,Park SquaresSamanthatown,UT,97073,Standard,25.82,4338.9684
brenda82@maldonado-gonzalez.net,"645 Elizabeth PassWilliamview, MS 51544",MediumVioletRed,10.96,37.27,2.95,442.67,Elizabeth PassWilliamview,MS,51544,Standard,24.115,1305.8765
josephgould@west.info,"861 Annette Stream Suite 771North Miguel, CA 33824-1610",DarkBlue,10.32,37.45,2.09,384.63,North Miguel,CA,33824-1610,Standard,23.885,803.8767
wbrady@yahoo.com,"044 Riggs ExpresswayLake Stevenchester, AL 22283",SandyBrown,9.98,35.93,3.86,451.46,Riggs ExpresswayLake Stevenchester,AL,22283,Standard,22.955,1742.6356
smithtracey@mcgee.com,"PSC 4508, Box 7961APO AA 55271-2375",DarkOliveGreen,12.65,38.47,2.87,522.4,Classified,,,Military,25.56,1499.288
amberchase@fowler.info,"1867 Gregory Isle Suite 022Port Tammy, LA 52305-9696",GreenYellow,11.59,35.25,3.39,483.67,Port Tammy,LA,52305-9696,Standard,23.42,1639.6413
gregoryholmes@hotmail.com,"2891 Martin Plain Suite 197Melaniestad, NE 65650-8529",DarkSalmon,13.76,39.25,3,520.9,Melaniestad,NE,65650-8529,Standard,26.505,1562.7
jeffreydawson@gmail.com,"9944 Trevor ExpresswayRobinsonstad, OR 34630-1840",DarkSeaGreen,10.57,36.17,3.32,453.17,Trevor ExpresswayRobinsonstad,OR,34630-1840,Standard,23.37,1504.5244
rjohns@gmail.com,"264 Derek Dam Apt. 680West Danielle, SD 91517-8611",DeepPink,11.83,36.81,3.47,496.65,West Danielle,SD,91517-8611,Standard,24.32,1723.3755
john85@martin-morgan.com,USNV ReeseFPO AA 73568-0730,Olive,12.06,37.27,3.97,547.37,Classified,,,Military,24.665,2173.0589
vcoleman@yahoo.com,"7761 Hughes Curve Apt. 880Rodriguezberg, MN 96206-5317",SkyBlue,12.5,38.05,4.64,616.85,Rodriguezberg,MN,96206-5317,Standard,25.275,2862.184
floresarthur@yahoo.com,"12612 Johnson Skyway Suite 764Jessicaville, CT 14968-6590",Magenta,9.61,36.49,5.08,507.21,Jessicaville,CT,14968-6590,Standard,23.05,2576.6268
ryan36@gmail.com,"5379 Rhonda Prairie Apt. 696Brownland, WA 87027",DarkTurquoise,13.73,38,4.8,613.6,Brownland,WA,87027,Standard,25.865,2945.28
chris67@ryan.biz,"716 Bush Greens Apt. 098Trevorton, MA 17817-8000",Silver,11.67,37.41,3.41,483.16,Trevorton,MA,17817-8000,Standard,24.54,1647.5756
katie25@gmail.com,"6861 Lopez Fork Apt. 114South Jamiechester, DE 63993",SpringGreen,13.28,36.6,3.46,540.26,South Jamiechester,DE,63993,Standard,24.94,1869.2996
kyang@diaz.org,"223 Love Trail Suite 831Port Jeffrey, IN 46849",OliveDrab,15.13,37.16,5.38,765.52,Port Jeffrey,IN,46849,Standard,26.145,4118.4976
tadams@contreras.info,"049 Matthew TerraceLake Matthew, MS 20210",Aqua,12.7,35.36,4,553.6,Matthew TerraceLake Matthew,MS,20210,Standard,24.03,2214.4
craigcastro@burgess.com,"65407 Warner Forges Suite 071New Lori, AZ 30132-2395",OrangeRed,11.84,36.38,3.44,469.31,New Lori,AZ,30132-2395,Standard,24.11,1614.4264
ellen24@anthony.com,"PSC 3408, Box 3353APO AE 05113-1257",LimeGreen,11.31,37.68,2.78,408.62,Classified,,,Military,24.495,1135.9636
davisrobert@hicks-smith.com,"95967 Pitts BurgsWest Sarah, MH 27817-5147",SkyBlue,11.19,40.01,3.55,451.58,Pitts BurgsWest Sarah,MH,27817-5147,Standard,25.6,1603.109
walkerlaura@peterson-yates.com,"89154 Jones Stream Suite 311East Katie, NC 72742-1516",LightGreen,11.89,36.27,2.6,444.97,East Katie,NC,72742-1516,Standard,24.08,1156.922
marc54@hotmail.com,Unit 6174 Box 1949DPO AP 27478,SandyBrown,12.23,36.16,4.69,595.82,Classified,,,Military,24.195,2794.3958
gregoryrussell@yahoo.com,"55436 Devon PlainWest Kendraberg, HI 18826-3623",Teal,10.67,38.01,3.4,418.15,Devon PlainWest Kendraberg,HI,18826-3623,Standard,24.34,1421.71
williamsjohnny@ferguson.info,"51920 Kent Junctions Apt. 352Walkerport, NY 11257-6647",LightYellow,12.82,37.03,3.85,534.78,Walkerport,NY,11257-6647,Standard,24.925,2058.903
haydenrebecca@gmail.com,"10022 Wilson Orchard Suite 107Harrisstad, MH 99272",MintCream,13.59,38.26,3.26,578.24,Harrisstad,MH,99272,Standard,25.925,1885.0624
langmatthew@hotmail.com,"606 Perez DrivesMaryside, CO 94387-5877",DimGray,12.24,38.73,3.12,478.72,Perez DrivesMaryside,CO,94387-5877,Standard,25.485,1493.6064
david43@richards.com,"967 Andrew SpursMathistown, CO 28230",Indigo,11.55,36.63,2.84,444.29,Andrew SpursMathistown,CO,28230,Standard,24.09,1261.7836
paulkemp@yahoo.com,"PSC 9698, Box 5466APO AE 75496-3580",LightSalmon,11.43,35.89,4.47,544.78,Classified,,,Military,23.66,2435.1666
fbryant@gmail.com,"284 Jennifer CurveLake Hollyberg, IN 05228",GreenYellow,10.89,38.21,4.44,488.79,Jennifer CurveLake Hollyberg,IN,5228,Standard,24.55,2170.2276
kimberlyfrederick@gmail.com,"71299 Jessica ShoalsEast Mark, IA 48085-1070",DeepSkyBlue,11.93,36.91,3.16,475.76,Jessica ShoalsEast Mark,IA,48085-1070,Standard,24.42,1503.4016
sharon82@saunders.info,"873 Clay Flats Apt. 810Lake Kyle, GU 48782",DarkGreen,12.6,39.6,3.75,489.81,Lake Kyle,GU,48782,Standard,26.1,1836.7875
fishermichael@ramos.com,"565 Duarte Keys Suite 293Traceytown, IN 17797",LimeGreen,10.95,35.88,3.16,462.9,Traceytown,IN,17797,Standard,23.415,1462.764
ilawson@hotmail.com,"19018 Christopher Neck Apt. 963Mcintoshchester, IA 66908-2456",DarkGoldenRod,13.9,37.06,4.13,596.43,Mcintoshchester,IA,66908-2456,Standard,25.48,2463.2559
shafferdaniel@murphy-harris.info,USCGC ThomasFPO AP 43708-2468,Turquoise,10.88,37.78,1.91,338.32,Classified,,,Military,24.33,646.1912
stevenanderson@yahoo.com,"5401 Holt Corner Apt. 195Hannahstad, NC 86693-3595",LightGreen,10.34,36.16,4.4,533.51,Hannahstad,NC,86693-3595,Standard,23.25,2347.444
richard16@boyer-pratt.com,"4568 Jeffrey Lane Apt. 512South Jason, WV 78116-0966",LightSteelBlue,11.63,36.18,5.11,536.77,South Jason,WV,78116-0966,Standard,23.905,2742.8947
hyoung@jones.info,"73469 Baker Forest Apt. 550Allenbury, TX 63791",Cornsilk,12.52,37.15,2.67,487.38,Allenbury,TX,63791,Standard,24.835,1301.3046
erik46@hotmail.com,"20711 Martin Harbors Apt. 582New Justinborough, AK 40834-2664",LemonChiffon,10.61,36.82,3.37,473.73,New Justinborough,AK,40834-2664,Standard,23.715,1596.4701
rojasmichael@wagner-thomas.com,"7602 Scott Plaza Apt. 158Lake Amberland, VI 10516-3276",DarkKhaki,12.83,36.95,4.57,547.13,Lake Amberland,VI,10516-3276,Standard,24.89,2500.3841
lance88@briggs.com,"16001 Wilkins Island Suite 852Jonathanfort, AL 88541-7817",FireBrick,12.07,36.11,3.92,505.11,Jonathanfort,AL,88541-7817,Standard,24.09,1980.0312
anthony09@hotmail.com,"5118 Madden Views Apt. 738North Barryport, AS 28731-2270",LightSeaGreen,12.53,37.88,2.48,449.07,North Barryport,AS,28731-2270,Standard,25.205,1113.6936
audreyjohnson@rosales.com,USCGC NicholsonFPO AE 43987-0470,SlateGray,13.52,36.77,4.13,611,Classified,,,Military,25.145,2523.43
beth76@yahoo.com,"4522 Paul Heights Suite 851Adamsland, RI 08981",Crimson,11.66,36.05,4,515.83,Adamsland,RI,8981,Standard,23.855,2063.32
larrywest@davis.com,"21918 Gail GlensBarbershire, SD 45790-8387",MidnightBlue,13.66,37.72,1.36,439.07,Gail GlensBarbershire,SD,45790-8387,Standard,25.69,597.1352
raylopez@hotmail.com,"3600 Amber Plains Suite 002North Jamesburgh, VA 07917",DarkGoldenRod,11.83,36.63,4.19,514.09,North Jamesburgh,VA,7917,Standard,24.23,2154.0371
middletonrenee@gmail.com,"71757 David Freeway Apt. 851West Carriefurt, NC 27106-3364",DarkCyan,13.29,38.63,3.87,543.34,West Carriefurt,NC,27106-3364,Standard,25.96,2102.7258
grichardson@ryan.info,"79139 Boone CommonStewartstad, DE 63633-1812",SteelBlue,11.94,38.06,4.08,521.14,Boone CommonStewartstad,DE,63633-1812,Standard,25,2126.2512
esmith@gmail.com,USS JohnsonFPO AE 35617-5384,OldLace,13.35,37.83,4.25,614.72,Classified,,,Military,25.59,2612.56
michael53@munoz.com,USNS MitchellFPO AP 92946,MediumBlue,12.02,39.07,3.91,507.39,Classified,,,Military,25.545,1983.8949
jacqueline46@mcdonald-smith.biz,"3794 Michael Forest Apt. 750New Stephenberg, MD 61004-0181",Gray,12.08,35.89,3.02,495.3,New Stephenberg,MD,61004-0181,Standard,23.985,1495.806
briannasantana@gmail.com,"88978 Noble CrestNorth Rosemouth, FM 53484-6689",LightPink,13.41,35.99,3.18,518.06,Noble CrestNorth Rosemouth,FM,53484-6689,Standard,24.7,1647.4308
mark52@yahoo.com,"82227 Farmer Throughway Suite 266Leeborough, WV 35324",BlanchedAlmond,11.28,37.39,2.88,390.1,Leeborough,WV,35324,Standard,24.335,1123.488
acampbell@sanchez-velasquez.info,"5791 Jessica CoveMckinneyborough, OK 64460-7536",Wheat,11.45,37.58,2.59,420.74,Jessica CoveMckinneyborough,OK,64460-7536,Standard,24.515,1089.7166
qgarcia@williams.com,"465 Kenneth Common Apt. 192North Tracy, WI 36024-8978",Aqua,12.6,36.26,2.97,492.11,North Tracy,WI,36024-8978,Standard,24.43,1461.5667
jenniferking@hess.net,"06939 Jones NeckMariaview, VT 87641",BlueViolet,10.99,38.07,3.43,410.07,Jones NeckMariaview,VT,87641,Standard,24.53,1406.5401
taylor91@hotmail.com,"3132 Willie HarborKaylafurt, FL 01107",CadetBlue,13.09,35.85,2.93,497.51,Willie HarborKaylafurt,FL,1107,Standard,24.47,1457.7043
afry@ford.biz,"399 Jeremy Skyway Suite 377North Keithville, IL 55074",PaleTurquoise,12.19,36.15,3.78,494.55,North Keithville,IL,55074,Standard,24.17,1869.399
amandadean@gmail.com,"66880 Mckinney HillsMatthewchester, MH 88386",DimGray,10.72,37.71,3,378.33,Mckinney HillsMatthewchester,MH,88386,Standard,24.215,1134.99
brenda68@hotmail.com,"0377 Reed Via Apt. 169Alexandershire, MO 43498",Moccasin,12.93,38.17,3.85,570.45,Alexandershire,MO,43498,Standard,25.55,2196.2325
bakerdrew@gmail.com,"39637 Griffin Plain Suite 691New Deborahview, MP 73870-3773",Chartreuse,13.45,38.5,3.32,549.01,New Deborahview,MP,73870-3773,Standard,25.975,1822.7132
connorlambert@yahoo.com,"931 Andrews HeightsSouth Shelley, NV 21850",Khaki,12.15,37.33,3.36,459.29,Andrews HeightsSouth Shelley,NV,21850,Standard,24.74,1543.2144
tknapp@yahoo.com,"15810 Karl PlainDavidville, TX 64072",MediumSpringGreen,12.18,37.72,3.72,492.95,Karl PlainDavidville,TX,64072,Standard,24.95,1833.774
garcialisa@yahoo.com,"46079 Gonzalez LoafWilliamside, PA 72265",LemonChiffon,11.01,38.42,3.54,424.76,Gonzalez LoafWilliamside,PA,72265,Standard,24.715,1503.6504
josephallen@hotmail.com,"3144 Jamie RestMaxwellville, NC 93749-1190",PeachPuff,11.6,37.31,2.79,422.43,Jamie RestMaxwellville,NC,93749-1190,Standard,24.455,1178.5797
hailey18@yahoo.com,"08079 Thompson VillageNorth Lukeborough, AL 16825",Lime,12.73,35.6,5.49,642.1,Thompson VillageNorth Lukeborough,AL,16825,Standard,24.165,3525.129
whess@hotmail.com,"29282 Alexander StreetSouth Andrewmouth, MS 22041",Tomato,11.22,37.69,2.59,413.37,Alexander StreetSouth Andrewmouth,MS,22041,Standard,24.455,1070.6283
josesims@hunter.com,"8830 Debra Loaf Apt. 341Drakeville, ME 22340",SlateBlue,12.01,36.7,2.75,479.23,Drakeville,ME,22340,Standard,24.355,1317.8825
dtaylor@webb.com,"18219 Jackson WellFosterton, MP 85302",Orange,11.73,36,5,593.08,Jackson WellFosterton,MP,85302,Standard,23.865,2965.4
briangonzales@gmail.com,"572 Michelle Motorway Apt. 889New Craig, ND 17250",Fuchsia,12.09,38.31,3.87,506.55,New Craig,ND,17250,Standard,25.2,1960.3485
jared99@yahoo.com,"PSC 0811, Box 7054APO AA 91691",GoldenRod,13.07,37.54,3.8,571.31,Classified,,,Military,25.305,2170.978
qchristian@martinez-allen.com,"26737 Brooks RoadsVincentstad, VA 93089",GreenYellow,12.85,35.01,3.29,576.31,Brooks RoadsVincentstad,VA,93089,Standard,23.93,1896.0599
ngarcia@donaldson.info,"662 Wells Stravenue Apt. 578South Kristaview, DC 49423-2452",ForestGreen,11.56,37.67,4.72,576.8,South Kristaview,DC,49423-2452,Standard,24.615,2722.496
scastillo@hotmail.com,"0922 Gutierrez LoafWattsbury, OH 96315",Moccasin,11.11,37.39,4.02,514.24,Gutierrez LoafWattsbury,OH,96315,Standard,24.25,2067.2448
joshua56@garcia.com,"38154 Davis LocksLake Stevenfort, KY 86814-9222",Indigo,12.81,36.55,3.64,495.18,Davis LocksLake Stevenfort,KY,86814-9222,Standard,24.68,1802.4552
richard81@day.org,"7955 Samantha Walk Suite 230North Luis, IL 44629",SlateBlue,11.76,37.57,3.83,514.34,North Luis,IL,44629,Standard,24.665,1969.9222
jessica97@hotmail.com,"32202 Curtis Branch Apt. 411Port Brettmouth, KY 01192-0594",Cyan,12.58,37.09,4.53,541.23,Port Brettmouth,KY,01192-0594,Standard,24.835,2451.7719
angelaphillips@gmail.com,"102 Karen CourtNew Jameston, SC 57761-6570",MintCream,11.96,36.63,4.11,516.83,Karen CourtNew Jameston,SC,57761-6570,Standard,24.295,2124.1713
donald67@harrison.com,"9759 Tammy Skyway Apt. 171Lake Debra, AS 95011",Lime,10.65,37.15,3.22,468.45,Lake Debra,AS,95011,Standard,23.9,1508.409
zmalone@yahoo.com,"PSC 6717, Box 7673APO AE 66950-0088",Moccasin,12.75,36.71,3.28,548.28,Classified,,,Military,24.73,1798.3584
rlindsey@norris.com,"581 Smith Prairie Suite 995Andersontown, AS 58802",Green,11.54,37.53,2.92,431.62,Andersontown,AS,58802,Standard,24.535,1260.3304
lewisgabrielle@hotmail.com,"422 Rivers Springs Suite 221North Barbara, WI 51990-7596",LightSkyBlue,11.92,37.25,3.91,552.94,North Barbara,WI,51990-7596,Standard,24.585,2161.9954
kristina69@gmail.com,"2859 Rodriguez ForksPort Josephtown, OH 13591-3011",BlueViolet,12.42,38.95,4.92,573.31,Rodriguez ForksPort Josephtown,OH,13591-3011,Standard,25.685,2820.6852
krista86@norton.net,"0537 Rice VillageWest Kylieberg, NJ 19433-5090",Azure,11.81,37.41,2.47,452.63,Rice VillageWest Kylieberg,NJ,19433-5090,Standard,24.61,1117.9961
chelsea05@hansen.com,"7182 Stephen Fork Suite 150Port Laurachester, CO 99974-1961",LightGray,12.76,36.6,4.13,542.71,Port Laurachester,CO,99974-1961,Standard,24.68,2241.3923
jill33@allen.com,"459 Amy BurgLake Travis, OR 53314",DarkCyan,11.85,37.42,1.77,407.8,Amy BurgLake Travis,OR,53314,Standard,24.635,721.806
welchashlee@hotmail.com,"PSC 8159, Box 3254APO AP 71071-4890",GreenYellow,12.7,36.1,2.72,482.35,Classified,,,Military,24.4,1311.992
dawnlewis@watkins.org,"623 Erica FlatLake Josephland, MT 73514",Crimson,12.22,36.59,3.9,529.23,Erica FlatLake Josephland,MT,73514,Standard,24.405,2063.997
ashleychristopher@gmail.com,"9271 Christopher PrairieDouglasshire, NM 18581",MediumOrchid,11.28,36.49,2.49,433.05,Christopher PrairieDouglasshire,NM,18581,Standard,23.885,1078.2945
acontreras@hotmail.com,"88995 Edwards Row Suite 456North Jo, DE 02062-7953",Sienna,10.74,37.46,3.86,476.19,North Jo,DE,02062-7953,Standard,24.1,1838.0934
alvaradoadam@jones-thompson.com,"35970 Holly KeyPort Frank, VT 78059-9385",Aquamarine,10.96,37.33,3.58,440,Holly KeyPort Frank,VT,78059-9385,Standard,24.145,1575.2
thomasgeorge@gonzalez-grant.com,"93306 Donald GreensNew Christopherbury, SC 59447",FloralWhite,11.74,36.6,3.96,448.93,Donald GreensNew Christopherbury,SC,59447,Standard,24.17,1777.7628
solischristina@gmail.com,"43102 Russo View Suite 717Hollyport, SC 15344",SlateBlue,12.42,35.98,3.25,472.99,Hollyport,SC,15344,Standard,24.2,1537.2175
jacksonboone@rubio.com,"973 Marc PortsBrownstad, IN 48786-6700",Sienna,10.54,35.73,3.91,463.92,Marc PortsBrownstad,IN,48786-6700,Standard,23.135,1813.9272
kaitlyn78@chang.com,"978 Bean SquareDeanburgh, OR 95149",LimeGreen,11.92,39.29,1.44,350.06,Bean SquareDeanburgh,OR,95149,Standard,25.605,504.0864
francisgeorge@thomas.org,"27563 Vincent LakeAllenchester, DC 22159",Teal,11.91,38.27,2.91,460.06,Vincent LakeAllenchester,DC,22159,Standard,25.09,1338.7746
linda90@yoder.org,"979 Alison Motorway Apt. 676North Frank, HI 55870-2651",WhiteSmoke,12.49,36.52,3.35,505.77,North Frank,HI,55870-2651,Standard,24.505,1694.3295
david79@lopez-montes.com,"969 William ManorWest Sherry, MA 66282-2258",Purple,12.38,37.23,3.09,463.48,William ManorWest Sherry,MA,66282-2258,Standard,24.805,1432.1532
micheleblanchard@lopez-greene.com,"555 Hunt Track Suite 307South Kristi, PA 73709",SlateGray,10.48,37.34,4.51,479.73,South Kristi,PA,73709,Standard,23.91,2163.5823
pmercado@rodriguez.com,"811 Maria RunSanchezville, MI 04953",LightPink,12.3,36.95,1.83,424.19,Maria RunSanchezville,MI,4953,Standard,24.625,776.2677
james30@carter.biz,"3604 Richard Junctions Suite 448Brownburgh, CO 64856-8238",LimeGreen,10.86,36.58,3.99,465.89,Brownburgh,CO,64856-8238,Standard,23.72,1858.9011
